iter	MAE
798	1219367.472
799	1219158.193
800	1218989.661
801	1218837.379
802	1218699.034
803	1218646.031
804	1218579.36
805	1218377.947
806	1218315.977
807	1218237.149
808	1218109.9
809	1217572.859
810	1217045.282
811	1216710.322
812	1216678.684
813	1216534.576
814	1215928.902
815	1215841.054
816	1215598.135
817	1215508.932
818	1215432.554
819	1215303.992
820	1214614.392
821	1214537.62
822	1214460.312
823	1214219.161
824	1214061.555
825	1213941.807
826	1213554.532
827	1213455.961
828	1212839.211
829	1212640.671
830	1212505.773
831	1212407.336
832	1212023.93
833	1211866.745
834	1211515.473
835	1210489.503
836	1210012.47
837	1209927.864
838	1209454.281
839	1209433.467
840	1209198.566
841	1208534.481
842	1208164.347
843	1208105.885
844	1208014.754
845	1207885.029
846	1207786.722
847	1207615.867
848	1207603.264
849	1207439.351
850	1207290.437
851	1207042.619
852	1206999.696
853	1206837.892
854	1206803.582
855	1206597.112
856	1206464.611
857	1206100.881
858	1205999.537
859	1205861.205
860	1205669.825
861	1205643.613
862	1205441.477
863	1205413.967
864	1205315.261
865	1205294.391
866	1205176.708
867	1205065.495
868	1204916.212
869	1204901.981
870	1204862.958
871	1204593.784
872	1204577.932
873	1204423.833
874	1204225.018
875	1203959.535
876	1203906.9
877	1203860.858
878	1203619.69
879	1203579.046
880	1203439.33
881	1203335.095
882	1202887.067
883	1202808.944
884	1202429.74
885	1202316.713
886	1202187.703
887	1201790.903
888	1201654.439
889	1201598.969
890	1201559.554
891	1201497.868
892	1201458.396
893	1201367.141
894	1201173.663
895	1201115.639
896	1201061.982
897	1201006.692
898	1200983.782
899	1200912.184
900	1200832.641
901	1200616.246
902	1200541.006
903	1200498.082
904	1200451.227
905	1200304.744
906	1200115.852
907	1199704.755
908	1199627.358
909	1199463.795
910	1199200.703
911	1199148.669
912	1199130.973
913	1198983.636
914	1198902.383
915	1198730.694
916	1198636.568
917	1198615.155
918	1198555.89
919	1198194.9
920	1198041.424
921	1198021.266
922	1197915.055
923	1197881.565
924	1197649.883
925	1197581.597
926	1197569.906
927	1197508.292
928	1197435.444
929	1197327.577
930	1197217.807
931	1197065.061
932	1196967.348
933	1196848.674
934	1196685.494
935	1196658.517
936	1196614.236
937	1196397.95
938	1196336.427
939	1195959.05
940	1195914.58
941	1195775.926
942	1195624.071
943	1195571.791
944	1195512.057
945	1195506.354
946	1195431.136
947	1195330.252
948	1195096.397
949	1195054.253
950	1195014.734
951	1194749.385
952	1194581.317
953	1193907.589
954	1193880.228
955	1193868.511
956	1193601.077
957	1193488.698
958	1193349.195
959	1193344.439
960	1193308.152
961	1193143.33
962	1192943.308
963	1192808.387
964	1192791.869
965	1192762.533
966	1192740.682
967	1192729.694
968	1192675.356
969	1192624.965
970	1192508.913
971	1192315.69
972	1192169.851
973	1192059.059
974	1191935.944
975	1191838.092
976	1191759.718
977	1191680.803
978	1191288.553
979	1191271.424
980	1191078.19
981	1190656.602
982	1190404.263
983	1190086.049
984	1189991.846
985	1189838.859
986	1189694.759
987	1189256.027
988	1189125.59
989	1189037.344
990	1188930.843
991	1188793.911
992	1188624.397
993	1188529.802
994	1188473.003
995	1188457.88
996	1188415.48
997	1188377.617
998	1188260.756
999	1188090.743
1000	1188024.811
1001	1187964.82
1002	1187872.055
1003	1187853.268
1004	1187628.768
1005	1187530.252
1006	1187401.191
1007	1187246.03
1008	1187073.526
1009	1186933.808
1010	1186708.356
1011	1186695.681
1012	1186582.035
1013	1186541.484
1014	1186499.345
1015	1185936.341
1016	1185850.709
1017	1185809.757
1018	1185743.454
1019	1185639.38
1020	1185514.444
1021	1185368.931
1022	1185263.376
1023	1185194.918
1024	1185006.687
1025	1184961.304
1026	1184847.712
1027	1184797.585
1028	1184614.838
1029	1184325.62
1030	1184149.218
1031	1184043.404
1032	1183945.87
1033	1183824.236
1034	1183761.197
1035	1183746.921
1036	1183593.962
1037	1183417.669
1038	1183370.125
